URL's successfully downloaded,Size of the downloaded file,Number of Outlinks,Content-Type,,,
https://cinema.usc.edu/sir/index.cfm,31844,72,text/html,,,
https://cinema.usc.edu/festivals/sundance/sundance2012.cfm,28057,87,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2013/index.cfm,26794,90,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2013/firstfilm2013/index.cfm,33554,94,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2015/index.cfm,26754,90,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2015/firstframe2015/index.cfm,67646,106,text/html,,,
https://cinema.usc.edu/festivals/sundance/sundance2010.cfm,30176,88,text/html,,,
https://cinema.usc.edu/festivals/sundance/sundance2016.cfm,33572,87,text/html,,,
https://cinema.usc.edu/festivals/sundance/index.cfm,32176,92,text/html,,,
https://cinema.usc.edu/parents/visit.cfm,26368,75,text/html,,,
https://cinema.usc.edu/laptops/index.cfm,23002,68,text/html,,,
https://cinema.usc.edu/students/index.cfm,24023,72,text/html,,,
https://cinema.usc.edu/facilities/Stages.cfm,24882,67,text/html,,,
https://cinema.usc.edu/development_new/50up.cfm,26921,80,text/html,,,
https://cinema.usc.edu/development_new/listOfBenefactors.cfm,31539,80,text/html,,,
https://cinema.usc.edu/development_new/1000up.cfm,24794,80,text/html,,,
https://cinema.usc.edu/development_new/parentProject.cfm,24850,86,text/html,,,
https://cinema.usc.edu/development_new/namingOpportunities.cfm,121,1,text/html,,,
https://cinema.usc.edu/development_new/buildingCampaign.cfm,32427,103,text/html,,,
https://cinema.usc.edu/development_new/studentSupport.cfm,26478,80,text/html,,,
https://cinema.usc.edu/development_new/sinatra.cfm,32753,95,text/html,,,
https://cinema.usc.edu/development_new/plannedGiving.cfm,22650,80,text/html,,,
https://cinema.usc.edu/development_new/25up.cfm,39766,80,text/html,,,
https://cinema.usc.edu/development_new/100up.cfm,27931,80,text/html,,,
https://cinema.usc.edu/development_new/parentproject.cfm,24850,87,text/html,,,
https://cinema.usc.edu/development_new/scaNetwork.cfm,31471,83,text/html,,,
https://cinema.usc.edu/development_new/250up.cfm,23414,80,text/html,,,
https://cinema.usc.edu/development_new/leadershipCircle.cfm,32785,89,text/html,,,
https://cinema.usc.edu/about/mission.cfm,22596,84,text/html,,,
https://cinema.usc.edu/about/services.cfm,23224,85,text/html,,,
https://cinema.usc.edu/about/history/2004-2008.cfm,27898,97,text/html,,,
https://cinema.usc.edu/about/movingimagearchive.cfm,24463,86,text/html,,,
https://cinema.usc.edu/about/history/1993-2003.cfm,29254,98,text/html,,,
https://cinema.usc.edu/about/history/1971-1992.cfm,26095,91,text/html,,,
https://cinema.usc.edu/about/warnerbrosstaff.cfm,24400,87,text/html,,,
https://cinema.usc.edu/about/tartikofflegacy/index.cfm,35103,111,text/html,,,
https://cinema.usc.edu/about/warnerbrosarchives.cfm,23323,86,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=9701,29268,81,text/html,,,
https://cinema.usc.edu/about/history/2009-2010.cfm,23242,84,text/html,,,
https://cinema.usc.edu/about/studentfilms.cfm,23916,85,text/html,,,
https://cinema.usc.edu/about/staff.cfm,24474,88,text/html,,,
https://cinema.usc.edu/about/history/1941-1970.cfm,28881,96,text/html,,,
https://cinema.usc.edu/about/history/1929-1940.cfm,26944,93,text/html,,,
https://cinema.usc.edu/about/directionsmaps.cfm,31155,89,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15401,20621,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=14831,24692,80,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15249,34213,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15009,49524,114,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15240,22672,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15483,20961,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15486,23201,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15122,23989,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15400,20393,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15367,23960,77,text/html,,,
https://cinema.usc.edu/news/2010.cfm,72463,123,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15996,22893,81,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15478,21080,81,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15119,20988,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15471,22554,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15195,20827,80,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15352,24948,90,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15477,21231,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15384,22190,82,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15387,21751,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15422,20691,79,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15388,22338,79,text/html,,,
https://cinema.usc.edu/news/2007.cfm,92157,141,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15381,21318,79,text/html,,,
https://cinema.usc.edu/news/2015.cfm,146066,289,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15259,22838,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15493,22233,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15372,24590,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15492,20650,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15250,34470,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15374,22848,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15253,21666,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15373,25026,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15098,21640,77,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13509,23507,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13503,25224,81,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13740,22460,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=13741,22919,82,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=12895,27146,80,text/html,,,
